,average_bifurcation_angle_local,average_bifurcation_angle_remote,average_contraction,average_diameter,average_fragmentation,average_parent_daughter_ratio,hausdorff_dimension,id,max_branch_order,max_euclidean_distance,max_path_distance,neuron_reconstruction_type,number_bifurcations,number_branches,number_nodes,number_stems,number_tips,overall_depth,overall_height,overall_width,scale_factor_x,scale_factor_y,scale_factor_z,soma_surface,specimen_id,superseded,tags,total_length,total_surface,total_volume,dendrite_type
381,68.2741826329839,,0.8981880712834859,0.332321465551048,50.8333333333333,0.862634741052673,,492101025,4.0,199.075596218246,204.879900647429,dendrite-only,12,29,1308,5,17,41.748000000000005,279.488730349536,227.901515681749,0.1144,0.1144,0.28,390.266944559777,482690728,False,3D Neuron Reconstruction morphology,1485.7016648646802,1554.3359903178698,135.548305016292,aspiny
382,72.671509529289,,0.860790207589849,0.39446727347696403,39.98,0.999492385786802,,614430666,8.0,386.66231640915004,429.295541608614,full,25,53,2120,3,28,110.8528,596.15921973512,190.01439932956,0.1144,0.1144,0.28,149.815907997487,570438732,False,3D Neuron Reconstruction morphology,2459.65829267615,3048.62275047175,308.196686551484,sparsely spiny
383,54.5586419841214,,0.9138987155589441,0.35579182466739506,40.595744680851105,0.957759696120313,,491253869,9.0,360.26280767309305,389.515274455989,dendrite-only,24,53,1964,5,29,35.4288,474.623543751368,171.992532268475,0.1144,0.1144,0.28,224.939886011385,480124551,False,3D Neuron Reconstruction morphology,2251.00166025621,2520.88719976536,280.859796207009,spiny
384,81.82535074054842,,0.9282776150166858,0.31209700620606395,40.673469387755105,0.74371751157084,,491392799,7.0,386.68054245295303,396.95778002068,dendrite-only,25,57,2098,7,32,71.1867,456.476410492816,236.683183295282,0.1144,0.1144,0.28,113.460000341527,476131588,False,3D Neuron Reconstruction morphology,2520.00338532379,2460.28769568689,221.26345646226503,spiny
385,71.19245927940071,,0.887334547100927,0.42909965471031897,36.820512820512796,0.848071198833953,,510979132,24.0,606.206096534372,746.901788873668,dendrite-only,79,165,5842,7,86,125.4328,720.253568922813,254.75101327063,0.1144,0.1144,0.28,199.30669081513,490916882,False,3D Neuron Reconstruction morphology,6769.0647137856495,9158.24139460727,1173.42336149586,spiny
386,80.3061958262246,,0.8608320924705402,0.434087755248188,93.61111111111109,0.882438369829616,,527109189,8.0,394.185014986871,464.50302511160004,dendrite-only,18,39,3413,3,21,116.1154,498.258568795189,669.518764584386,0.1144,0.1144,0.28,798.7928963735719,512319604,False,3D Neuron Reconstruction morphology,3892.45163565933,5302.597685271699,695.2492444579069,spiny
387,61.9407197174689,,0.886638535171857,0.373084809093814,49.5833333333333,1.0112951185052501,,491119617,4.0,172.577809538075,195.958412691854,dendrite-only,12,28,1229,4,16,38.92,249.418108462999,223.02000382168399,0.1144,0.1144,0.28,200.33589192758998,318331342,False,3D Neuron Reconstruction morphology,1270.18556543491,1498.37955596692,151.250657022615,aspiny
388,73.4068347227088,,0.885431022028078,0.471252268074634,55.75,0.849701344596509,,657301037,5.0,183.250753631247,217.33373304788398,full,12,28,1402,4,16,94.2998,331.170179766346,263.45196153981004,0.1144,0.1144,0.28,338.556461797447,324266189,False,3D Neuron Reconstruction morphology,1696.59146308595,2533.99531544614,329.294336815294,sparsely spiny
389,70.7655612460312,,0.882288411283213,0.317323133116813,25.326086956521696,0.9214650064967931,,491119581,5.0,103.044080556042,125.754259684792,dendrite-only,23,51,1258,5,28,53.3378,185.868344189179,107.694411625643,0.1144,0.1144,0.28,332.267195809347,479220013,False,3D Neuron Reconstruction morphology,1491.0296420326802,1490.4341185778799,122.39426389491501,aspiny
390,68.1693929554039,,0.898794883328268,0.252220352577378,37.4444444444444,0.8418362432189059,,527110314,8.0,517.79989608145,541.0402384771351,dendrite-only,27,63,2118,9,36,45.08,591.1176910514599,209.632169916783,0.1144,0.1144,0.28,140.850771551527,513800575,False,3D Neuron Reconstruction morphology,2417.6731165922697,1910.0058586158602,148.926663440863,spiny
